#header text header text texty text text
0.199497	0.000771	0.000594	0.000454	0.538123	0.001543	0.000562	0.000934	0.467005
0.199550	0.001002	0.000687	0.000413	0.538264	0.001816	0.000577	0.001071	0.466991
0.199549	0.001097	0.000545	0.000406	0.538226	0.001893	0.000568	0.001129	0.466983
0.199529	0.000792	0.000491	0.000394	0.538080	0.001646	0.000570	0.001063	0.466982
0.199550	0.000713	0.000502	0.000416	0.538261	0.001593	0.000566	0.000951	0.466940
0.199578	0.000661	0.000526	0.000425	0.538389	0.001685	0.000593	0.001042	0.466920
0.199496	0.000726	0.000631	0.000414	0.538407	0.001750	0.000587	0.001024	0.466922
0.199505	0.000654	0.000785	0.000427	0.538253	0.001632	0.000569	0.000963	0.466956
0.199513	0.000705	0.000585	0.000435	0.538259	0.001644	0.000559	0.001043	0.466959
0.199543	0.000760	0.000484	0.000423	0.538149	0.001944	0.000553	0.001108	0.466902
0.199502	0.001275	0.000526	0.000416	0.538120	0.001766	0.000541	0.001074	0.466994
0.199507	0.001050	0.000557	0.000413	0.538059	0.001647	0.000561	0.000970	0.466959
0.199504	0.000801	0.000678	0.000399	0.538193	0.001636	0.000540	0.000972	0.466946
0.199570	0.000662	0.000685	0.000408	0.538230	0.001629	0.000551	0.001182	0.466876
0.199543	0.000633	0.000544	0.000407	0.538293	0.001665	0.000547	0.000916	0.466900
0.199540	0.000796	0.000484	0.000414	0.538150	0.001732	0.000578	0.001029	0.466894
0.199512	0.000664	0.000454	0.000423	0.538175	0.001808	0.000545	0.001087	0.466928
0.199527	0.000665	0.000544	0.000417	0.538124	0.001841	0.000576	0.001121	0.466931
0.199505	0.001150	0.000643	0.000442	0.538219	0.001613	0.000567	0.000999	0.466935
0.199517	0.001400	0.000660	0.000429	0.538357	0.001648	0.000560	0.000974	0.466915
0.199541	0.000930	0.000598	0.000392	0.538370	0.001766	0.000574	0.001090	0.466868
0.199531	0.000676	0.000517	0.000414	0.538184	0.001633	0.000580	0.000928	0.466833
0.199517	0.000618	0.000453	0.000414	0.538366	0.001584	0.000550	0.000944	0.466829
0.199556	0.000741	0.000524	0.000414	0.538234	0.001728	0.000524	0.001098	0.466866
