534,397,430,393,325,378,220,361
535,398,429,394,325,378,220,361
535,397,430,394,325,378,220,362
535,397,430,393,325,378,220,361
535,398,429,393,325,379,220,362
535,398,430,393,325,378,220,362
535,397,430,393,325,378,221,362
535,398,430,393,325,378,221,362
535,398,429,393,325,379,221,362
535,397,430,393,325,378,221,362
535,398,430,392,325,378,221,362
534,397,430,394,325,378,220,363
534,398,429,394,325,378,221,362
534,398,430,393,325,378,221,363
534,398,430,393,325,378,220,363
533,398,429,393,325,378,221,363
534,397,430,393,325,378,221,363
534,397,430,393,325,378,221,363
533,396,430,393,325,379,221,363
533,398,430,393,326,378,220,363
534,398,430,393,325,378,221,363
533,397,429,393,326,378,221,364
533,397,430,393,325,378,221,363
534,397,430,393,325,378,221,364
534,397,430,393,325,379,220,363
534,399,430,393,325,379,221,363
534,397,430,393,326,378,221,363
534,398,430,393,325,378,221,363
534,398,430,393,325,379,221,364
534,397,430,394,326,379,221,363
534,398,430,393,325,378,220,364
534,397,430,394,325,378,221,363
535,398,430,393,325,379,221,364
535,397,430,394,326,378,221,363
535,397,430,394,325,378,221,363
534,399,429,393,326,379,221,363
534,398,430,393,326,379,221,363
534,399,430,393,326,379,221,363
534,399,430,393,326,379,220,363
534,397,430,393,326,379,221,363
535,398,429,393,326,379,221,363
535,397,430,393,326,379,221,363
534,398,429,393,326,379,222,363
534,397,430,393,326,379,221,363
534,397,430,393,326,379,221,363
534,398,429,393,326,379,220,363
534,397,430,393,326,379,221,363
535,397,430,393,326,379,221,363
534,398,430,393,326,379,221,363
534,397,430,393,326,379,221,363
533,398,430,393,326,379,220,363
533,397,430,393,326,379,221,363
534,396,430,394,326,379,221,363
533,397,429,393,326,379,220,363
534,396,430,393,326,379,221,363
534,397,430,393,326,379,221,363
533,396,430,393,326,379,221,363
534,397,430,393,326,379,222,363
533,398,430,393,326,379,221,363
533,397,429,393,326,379,221,364
533,397,430,393,327,379,221,364
534,397,430,393,327,379,221,363
534,397,430,393,326,379,221,364
534,398,429,393,326,379,221,364
535,397,430,393,327,379,222,363
534,399,430,393,327,378,220,362
534,398,429,393,326,379,221,364
534,399,430,393,326,379,221,364
534,398,430,393,326,379,221,363
534,397,430,393,326,379,221,363
534,399,430,393,326,379,221,364
534,397,430,392,326,379,221,364
534,398,430,393,326,379,221,363
534,398,430,393,326,379,221,363
534,397,430,393,326,379,221,364
534,398,429,393,326,378,221,364
534,397,430,393,326,379,221,363
534,397,430,392,327,379,222,362
534,398,430,393,327,379,221,364
535,397,430,393,326,379,221,363
534,397,430,393,326,379,221,363
534,398,431,393,326,379,221,363
534,397,430,393,326,379,221,364
534,397,430,393,326,379,221,364
534,398,430,392,327,380,221,364
534,398,430,393,326,379,222,363
535,398,430,393,326,379,222,362
534,399,430,392,326,379,221,363
534,397,430,393,327,379,221,363
534,398,430,393,327,379,221,363
535,397,430,393,326,379,221,364
534,399,430,392,326,379,221,364
534,397,430,393,327,379,221,364
534,398,430,393,327,379,221,363
534,397,430,393,326,379,221,363
534,399,430,392,326,379,222,362
533,397,430,394,326,379,221,364
534,398,430,393,326,379,221,364
535,397,430,393,326,379,221,363
534,399,429,393,326,379,222,363
534,397,430,393,327,379,221,364
534,398,430,393,327,379,222,363
534,397,430,393,326,379,221,363
534,398,430,393,326,379,221,364
534,397,430,393,326,379,221,364
534,398,430,393,326,379,221,364
534,398,430,393,327,379,221,364
534,399,430,393,327,379,222,363
534,397,430,392,327,379,221,363
534,398,430,393,326,379,221,364
534,397,430,393,326,379,221,364
534,398,429,393,326,380,221,364
