267,129,187,124,91,232
268,128,189,124,90,232
267,128,189,123,92,232
268,128,188,124,92,232
266,127,187,124,92,233
265,128,186,125,92,233
263,127,186,124,91,233
262,127,184,124,92,233
262,127,184,125,92,233
261,128,184,124,93,233
262,127,184,124,93,233
262,127,184,124,93,233
262,127,184,125,92,233
263,127,185,125,92,232
263,127,185,125,93,233
263,128,185,124,92,233
264,128,185,124,92,234
266,127,188,124,92,234
270,128,192,123,93,234
274,128,195,123,94,233
276,128,197,123,93,233
280,129,201,123,93,233
282,130,203,122,93,233
286,130,206,121,93,233
290,131,211,121,93,232
295,132,214,121,92,233
299,132,219,121,94,233
304,136,225,122,93,233
305,135,227,122,92,233
308,137,228,123,93,234
311,138,232,123,93,234
315,139,237,123,92,233
319,140,241,124,93,232
324,142,244,124,93,233
325,142,247,125,92,232
326,142,247,125,92,233
326,142,247,124,92,233
322,141,243,124,93,233
317,140,239,124,93,232
314,140,235,123,93,232
310,138,231,124,93,232
304,137,226,124,92,233
300,137,222,124,93,232
295,136,217,124,93,232
285,135,206,126,93,233
279,134,202,126,92,233
275,133,196,126,92,234
271,133,192,127,93,233
265,132,187,127,93,233
262,131,184,127,93,233
262,131,183,127,92,234
264,131,185,127,94,233
265,131,187,127,93,233
269,131,191,127,93,233
274,132,196,127,92,234
281,133,203,127,93,234
287,134,209,128,92,233
292,134,215,128,92,233
300,137,222,129,92,233
304,139,226,130,92,233
307,140,230,132,92,233
310,142,232,133,92,233
312,144,236,134,92,233
313,144,236,135,93,233
312,145,235,135,93,233
312,145,234,135,93,233
310,144,232,134,92,234
307,143,231,132,91,233
304,140,228,131,93,233
299,139,223,130,92,235
296,138,217,130,91,235
