	a0	a1	a2	x	y	z
1824	0.206411	0.533027	0.497864			
1825	0.206507	0.532807	0.497795			
1826	0.206838	0.53292	0.497855			
1827	0.207272	0.533048	0.497775			
1828	0.207934	0.533275	0.497838			
1829	0.208813	0.533508	0.49791			
1830	0.209724	0.533842	0.498075			
1831	0.210607	0.533816	0.49821			
1832	0.211347	0.533965	0.498262			
1833	0.212043	0.53399	0.498261			
1834	0.212729	0.53441	0.498359			
1835	0.213546	0.534372	0.49844			
1836	0.214401	0.534759	0.498603			
1837	0.215445	0.535214	0.498852			
1838	0.216394	0.535846	0.49919			
1839	0.217433	0.536653	0.499556			
1840	0.218302	0.537164	0.499871			
1841	0.219209	0.537657	0.500057			
1842	0.220174	0.538093	0.500388			
1843	0.221212	0.538741	0.500724			
1844	0.222258	0.539748	0.501063			
1845	0.22333	0.540292	0.501457			
1846	0.224317	0.541084	0.501976			
1847	0.225523	0.541432	0.502524			
1848	0.226609	0.542277	0.503101			
1849	0.227738	0.542914	0.503888			
1850	0.229035	0.54352	0.504526			
1851	0.23035	0.544261	0.505238			
1852	0.23186	0.545021	0.506071			
1853	0.233289	0.545874	0.506867			
1854	0.234746	0.546671	0.507681			
1855	0.236148	0.547924	0.508299			
1856	0.237561	0.548748	0.509086			
1857	0.2389	0.549905	0.510397			
1858	0.240059	0.551287	0.511649			
1859	0.241179	0.55221	0.513098			
1860	0.242171	0.553551	0.51447			
1861	0.243182	0.554045	0.515788			
1862	0.243971	0.554612	0.517026			
1863	0.24485	0.555745	0.518455			
1864	0.245656	0.55669	0.520034			
1865	0.24637	0.55779	0.521782			
1866	0.246958	0.558867	0.5237			
1867	0.247538	0.559953	0.525849			
1868	0.248119	0.561265	0.52797			
1869	0.248541	0.562262	0.530288			
1870	0.249078	0.563391	0.532981			
1871	0.249377	0.564969	0.535258			
1872	0.249275	0.564821	0.536484			
1873	0.249663	0.564906	0.534552			
1874	0.250151	0.565129	0.533225			
1875	0.250034	0.565583	0.534837			
1876	0.250039	0.566537	0.536641			
1877	0.250331	0.566979	0.536534			
1878	0.250629	0.567432	0.536007			
1879	0.250686	0.56777	0.536252			
1880	0.250678	0.56831	0.53712			
1881	0.250791	0.568956	0.537886			
1882	0.250927	0.569172	0.537973			
1883	0.251114	0.569282	0.537993			
1884	0.251221	0.569657	0.538444			
1885	0.251217	0.570083	0.539048			
1886	0.25128	0.570539	0.539406			
1887	0.251456	0.570686	0.53949			
1888	0.251577	0.57063	0.539835			
1889	0.251549	0.571104	0.540392			
1890	0.25163	0.571517	0.540685			
1891	0.251674	0.571963	0.540891			
1892	0.251777	0.572275	0.541143			
1893	0.2518	0.572525	0.541465			
1894	0.251835	0.572873	0.541855			
1895	0.251991	0.573122	0.54203			
1896	0.252041	0.573356	0.54225			
1897	0.252126	0.573826	0.542567			
1898	0.252197	0.5741	0.542917			
1899	0.252209	0.574559	0.543219			
1900	0.252272	0.574595	0.543429			
1901	0.252319	0.574872	0.543722			
1902	0.252378	0.575155	0.543991			
1903	0.252337	0.575348	0.544245			
1904	0.252413	0.575672	0.544532			
1905	0.252534	0.575809	0.544827			
1906	0.252544	0.576155	0.545073			
1907	0.252621	0.576387	0.545285			
1908	0.252654	0.576653	0.545523			
1909	0.252699	0.576898	0.545823			
1910	0.252776	0.577023	0.546079			
1911	0.252784	0.577229	0.546392			
1912	0.252879	0.577324	0.546623			
1913	0.252875	0.577641	0.546917			
1914	0.252881	0.577789	0.547034			
1915	0.252905	0.578148	0.547352			
1916	0.253045	0.578582	0.547639			
1917	0.253087	0.578487	0.547915			
1918	0.253158	0.57864	0.548129			
1919	0.253141	0.578695	0.548372			
1920	0.253183	0.578772	0.548652			
1921	0.253139	0.579044	0.548862			
1922	0.253285	0.579074	0.549107			
1923	0.253236	0.579307	0.549255			
1924	0.253331	0.579525	0.549476			
1925	0.253418	0.579681	0.549763			
1926	0.253391	0.579914	0.549946			
1927	0.253483	0.580241	0.550121			
1928	0.253473	0.580279	0.550312			
1929	0.25353	0.580706	0.55054			
1930	0.253599	0.580502	0.550745			
1931	0.253613	0.580825	0.550884			
1932	0.253608	0.581155	0.551106			
1933	0.253617	0.581502	0.551264			
1934	0.253711	0.581329	0.551429			
1935	0.253687	0.581583	0.551586			
1936	0.253743	0.581842	0.551838			
1937	0.253792	0.58214	0.552029			
1938	0.253857	0.582405	0.552239			
1939	0.253893	0.582527	0.552437			
1940	0.253944	0.582741	0.552675			
1941	0.253961	0.582819	0.552855			
1942	0.253945	0.582954	0.553033			
1943	0.253995	0.583223	0.55318			
1944	0.254058	0.583685	0.553318			
1945	0.254089	0.58372	0.553521			
1946	0.254062	0.584023	0.55361			
1947	0.254091	0.584282	0.553816			
1948	0.254147	0.584301	0.553916			
1949	0.254242	0.584512	0.554096			
1950	0.254243	0.584801	0.554477			
1951	0.254234	0.585642	0.554858			
1952	0.25351	0.584297	0.552895			
1953	0.253198	0.582343	0.546061			
1954	0.25368	0.581204	0.538778			
1955	0.253905	0.581693	0.535721			
1956	0.25352	0.583232	0.535426			
1957	0.2532	0.583664	0.533576			
1958	0.253261	0.583029	0.52968			
1959	0.253305	0.581911	0.525476			
1960	0.252941	0.581256	0.523149			
1961	0.252417	0.581103	0.521721			
1962	0.252122	0.580563	0.520367			
1963	0.251599	0.579682	0.518653			
1964	0.25112	0.578117	0.516564			
1965	0.2505	0.57625	0.51453			
1966	0.249706	0.574303	0.51242			
1967	0.248907	0.572426	0.511795			
1968	0.247959	0.570593	0.511546			
1969	0.247224	0.569511	0.510891			
1970	0.246283	0.568384	0.510078			
1971	0.245062	0.56692	0.50934			
1972	0.243777	0.565493	0.508451			
1973	0.24255	0.563938	0.507834			
1974	0.241518	0.5627	0.507441			
1975	0.240601	0.561478	0.506916			
1976	0.239379	0.560176	0.506715			
1977	0.238251	0.559	0.506457			
1978	0.23709	0.558181	0.506291			
1979	0.23587	0.557327	0.506046			
1980	0.23463	0.556458	0.505896			
1981	0.233365	0.555461	0.505784			
1982	0.232029	0.554837	0.505513			
1983	0.230772	0.553999	0.505368			
1984	0.229522	0.552992	0.505221			
1985	0.228136	0.552048	0.505004			
1986	0.226964	0.55139	0.504905			
1987	0.225835	0.550788	0.504801			
1988	0.224716	0.549915	0.504697			
1989	0.223679	0.549481	0.504563			
1990	0.22259	0.548518	0.504486			
1991	0.221663	0.547737	0.504504			
1992	0.221006	0.54733	0.504457			
1993	0.220469	0.547204	0.504337			
1994	0.219926	0.54689	0.504272			
1995	0.219143	0.546359	0.504155			
1996	0.218902	0.546017	0.503852			
1997	0.218401	0.545611	0.503725			
1998	0.218004	0.545249	0.503645			
1999	0.217674	0.54457	0.503476			
2000	0.217514	0.544501	0.503314			
2001	0.217306	0.544123	0.503243			
2002	0.217044	0.544017	0.503216			
2003	0.217016	0.543597	0.503049			
2004	0.216861	0.543498	0.502958			
2005	0.216661	0.54317	0.502951			
2006	0.216522	0.542713	0.502838			
2007	0.216413	0.542463	0.502754			
2008	0.216318	0.542488	0.502688			
2009	0.216106	0.542264	0.502516			
2010	0.216018	0.542155	0.502451			
2011	0.215865	0.541863	0.502371			
2012	0.215746	0.541472	0.502282			
2013	0.215568	0.541602	0.502201			
2014	0.215481	0.541546	0.502107			
2015	0.215387	0.541352	0.50211			
2016	0.215289	0.541109	0.502083			
2017	0.215106	0.540938	0.502014			
2018	0.215043	0.541085	0.501929			
2019	0.21493	0.541087	0.501839			
2020	0.214834	0.540881	0.50182			
2021	0.214673	0.540593	0.501509			
2022	0.214636	0.540351	0.501437			
2023	0.214564	0.540614	0.501423			
2024	0.214485	0.540601	0.501306			
2025	0.214293	0.540511	0.501281			
2026	0.214239	0.54038	0.501268			
2027	0.214169	0.539848	0.501152			
2028	0.214068	0.539927	0.501091			
2029	0.214031	0.540128	0.501079			
2030	0.213911	0.539852	0.50099			
2031	0.213803	0.53984	0.500983			
2032	0.213742	0.540157	0.500992			
2033	0.213653	0.539958	0.500882			
2034	0.213504	0.540005	0.500789			
2035	0.21344	0.540024	0.500773			
2036	0.21341	0.539664	0.50068			
2037	0.213353	0.539707	0.500577			
2038	0.213167	0.539326	0.500562			
2039	0.213152	0.538931	0.500447			
2040	0.213056	0.53905	0.500528			
2041	0.212996	0.538833	0.500393			
2042	0.212983	0.538493	0.500398			
2043	0.212926	0.538321	0.500389			
2044	0.212789	0.538453	0.500306			
2045	0.212754	0.538229	0.500262			
2046	0.212659	0.538261	0.500177			
2047	0.21258	0.538191	0.500098			
2048	0.212519	0.538043	0.50011			
2049	0.212495	0.538199	0.500021			
2050	0.212399	0.53795	0.500013			
2051	0.212319	0.537972	0.499986			
2052	0.212259	0.537738	0.499933			
2053	0.212255	0.537829	0.499822			
2054	0.212246	0.537692	0.499734			
2055	0.212199	0.537782	0.499717			
2056	0.212044	0.537678	0.499614			
2057	0.212043	0.537537	0.499559			
2058	0.21198	0.537662	0.499485			
2059	0.211938	0.537421	0.499423			
2060	0.211856	0.537596	0.49937			
2061	0.211787	0.537381	0.499374			
2062	0.211741	0.537353	0.4993			
2063	0.211716	0.537167	0.499233			
2064	0.21168	0.536868	0.499271			
2065	0.211629	0.537208	0.499227			
2066	0.211559	0.537121	0.499251			
2067	0.211537	0.537123	0.499183			
2068	0.211422	0.536829	0.499196			
2069	0.211359	0.536843	0.499183			
2070	0.211365	0.536791	0.499036			
2071	0.211239	0.537102	0.499114			
2072	0.211276	0.536986	0.49909			
2073	0.211223	0.536857	0.499093			
2074	0.21117	0.536645	0.499051			
2075	0.21116	0.536532	0.498956			
2076	0.211036	0.536576	0.498957			
2077	0.21101	0.536421	0.49892			
2078	0.210908	0.536445	0.498892			
2079	0.210911	0.536165	0.498793			
2080	0.210883	0.536027	0.498769			
2081	0.210877	0.536212	0.498828			
2082	0.210807	0.53633	0.498765			
2083	0.210792	0.536122	0.498711			
2084	0.210749	0.536192	0.498658			
2085	0.210728	0.535994	0.498711			
2086	0.210652	0.536089	0.49876			
2087	0.210616	0.536111	0.498688			
2088	0.210587	0.535989	0.498696			
2089	0.210495	0.53601	0.498738			
2090	0.210451	0.535979	0.498767			
2091	0.210487	0.535479	0.498752			
2092	0.210395	0.535244	0.498758			
2093	0.210353	0.535284	0.49879			
2094	0.210366	0.535411	0.498725			
2095	0.210316	0.535276	0.498727			
2096	0.210311	0.535366	0.498717			
2097	0.21022	0.535584	0.498695			
2098	0.210145	0.535366	0.498614			
2099	0.21011	0.535501	0.498573			
2100	0.21004	0.535348	0.498542			
2101	0.209864	0.535157	0.498503			
2102	0.209467	0.535082	0.498493			
2103	0.208924	0.534707	0.498463			
2104	0.208498	0.534503	0.498257			
2105	0.208032	0.534443	0.498263			
2106	0.20769	0.534228	0.498209			
2107	0.207275	0.534381	0.498227			
2108	0.206993	0.534365	0.498202			
2109	0.206641	0.534596	0.498181			
2110	0.2066	0.534392	0.498074			
2111	0.206426	0.534538	0.498098			
2112	0.206421	0.534276	0.498153			
2113	0.206563	0.534202	0.49803			
2114	0.206719	0.53416	0.49809			
2115	0.207174	0.534306	0.498029			
2116	0.207769	0.534233	0.498038			
2117	0.208597	0.534413	0.498206			
2118	0.209477	0.534757	0.498254			
2119	0.210339	0.535156	0.498418			
2120	0.211174	0.535207	0.498505			
2121	0.211846	0.535645	0.49862			
2122	0.212519	0.53554	0.498673			
2123	0.213235	0.535775	0.498796			
2124	0.214182	0.536194	0.49893			
2125	0.215202	0.536768	0.49919			
2126	0.216209	0.537266	0.499507			
2127	0.217159	0.537526	0.499852			
2128	0.218125	0.538274	0.500155			
2129	0.219108	0.538454	0.500414			
2130	0.21996	0.538843	0.500654			
2131	0.220961	0.539626	0.500878			
2132	0.221967	0.54029	0.501179			
2133	0.223041	0.541075	0.501495			
2134	0.224098	0.541737	0.501957			
2135	0.225161	0.542161	0.502463			
2136	0.226284	0.542504	0.502913			
2137	0.227439	0.543378	0.503453			
2138	0.228689	0.544341	0.504119			
2139	0.229987	0.545164	0.504742			
2140	0.231459	0.545764	0.505457			
2141	0.233046	0.546908	0.506327			
2142	0.234472	0.547674	0.507152			
2143	0.235824	0.5487	0.507918			
2144	0.237144	0.549549	0.508784			
2145	0.238616	0.55064	0.509896			
2146	0.239897	0.551752	0.511147			
2147	0.241025	0.552702	0.512533			
2148	0.24206	0.553983	0.513807			
2149	0.243089	0.554863	0.515096			
2150	0.244019	0.555187	0.516292			
2151	0.244829	0.555768	0.517627			
2152	0.245535	0.556839	0.519001			
2153	0.246236	0.557906	0.520777			
2154	0.246895	0.55888	0.522722			
2155	0.247526	0.560176	0.524733			
2156	0.248011	0.561296	0.526888			
2157	0.24846	0.562177	0.529082			
2158	0.248927	0.563163	0.531734			
2159	0.249635	0.564612	0.534418			
2160	0.249494	0.565326	0.536426			
2161	0.249648	0.565311	0.535107			
2162	0.250185	0.565036	0.533185			
2163	0.250277	0.565575	0.533891			
2164	0.250127	0.566441	0.535935			
2165	0.250315	0.567221	0.536586			
2166	0.250588	0.567573	0.535912			
2167	0.250753	0.567888	0.535892			
2168	0.250788	0.568314	0.536628			
2169	0.250856	0.568868	0.537456			
2170	0.251016	0.569323	0.537662			
2171	0.251177	0.569382	0.53751			
2172	0.251299	0.569842	0.537806			
2173	0.251337	0.570485	0.538403			
2174	0.251368	0.570769	0.538883			
2175	0.251472	0.571144	0.539034			
2176	0.251524	0.571453	0.53922			
2177	0.251609	0.571749	0.539669			
2178	0.251633	0.571977	0.540103			
2179	0.251749	0.572388	0.540361			
2180	0.251808	0.572628	0.540595			
2181	0.251898	0.572688	0.540899			
2182	0.251942	0.573181	0.5413			
2183	0.25208	0.573473	0.541578			
2184	0.252161	0.573839	0.541835			
2185	0.252189	0.574131	0.542163			
2186	0.252192	0.574383	0.542518			
2187	0.25227	0.574733	0.542724			
2188	0.252307	0.574863	0.543079			
2189	0.252327	0.575063	0.543313			
2190	0.252427	0.575337	0.543609			
2191	0.252435	0.575567	0.543929			
2192	0.25251	0.575939	0.544196			
2193	0.252544	0.576243	0.544471			
2194	0.252621	0.576594	0.544713			
2195	0.252738	0.576617	0.544895			
2196	0.25274	0.576874	0.545179			
2197	0.252767	0.577197	0.545435			
2198	0.252805	0.577415	0.545676			
2199	0.252895	0.577479	0.545801			
2200	0.252842	0.577785	0.546135			
2201	0.252932	0.57802	0.546464			
2202	0.252933	0.578058	0.546658			
2203	0.253035	0.578416	0.546945			
2204	0.253126	0.578712	0.547172			
2205	0.253156	0.578647	0.547398			
2206	0.253194	0.578941	0.547605			
2207	0.25327	0.579156	0.547942			
2208	0.253275	0.579556	0.548284			
2209	0.253302	0.579444	0.548525			
2210	0.253322	0.57985	0.548717			
2211	0.253374	0.58021	0.548975			
2212	0.253457	0.580624	0.54916			
2213	0.253421	0.580698	0.549416			
2214	0.253473	0.580826	0.549607			
2215	0.253503	0.58068	0.54976			
2216	0.253521	0.580835	0.550016			
2217	0.253572	0.581	0.550184			
2218	0.2536	0.581062	0.550386			
2219	0.253716	0.581266	0.550547			
2220	0.253777	0.581329	0.550766			
2221	0.253746	0.58167	0.550957			
2222	0.25379	0.581917	0.551218			
2223	0.253899	0.582001	0.551348			
2224	0.253855	0.582169	0.551548			
2225	0.253863	0.582415	0.551685			
2226	0.25385	0.58272	0.55197			
2227	0.253948	0.583005	0.552061			
2228	0.253978	0.583203	0.552308			
2229	0.254016	0.583408	0.552514			
2230	0.254084	0.583428	0.552703			
2231	0.254115	0.583511	0.552914			
2232	0.254154	0.584106	0.55304			
2233	0.254183	0.584152	0.553196			
2234	0.254156	0.584293	0.553344			
2235	0.254187	0.584572	0.553482			
2236	0.25423	0.584844	0.553581			
2237	0.254194	0.585165	0.553755			
2238	0.25424	0.585251	0.553962			
2239	0.254458	0.586133	0.554519			
2240	0.25371	0.585352	0.553647			
2241	0.253283	0.583119	0.548462			
2242	0.253567	0.581963	0.540148			
2243	0.253996	0.581973	0.536014			
2244	0.253796	0.583478	0.534921			
2245	0.253315	0.584041	0.533784			
2246	0.253335	0.583981	0.530609			
2247	0.253408	0.582767	0.526334			
2248	0.253095	0.581944	0.523675			
2249	0.252595	0.581251	0.521921			
2250	0.252164	0.581218	0.520644			
2251	0.251806	0.580653	0.519113			
2252	0.251301	0.579251	0.517419			
2253	0.250706	0.577296	0.514929			
2254	0.249948	0.575378	0.51263			
2255	0.249197	0.573626	0.511825			
2256	0.248315	0.572173	0.511477			
2257	0.24753	0.570955	0.510952			
2258	0.24667	0.56956	0.510202			
2259	0.245512	0.568028	0.509224			
2260	0.244235	0.566627	0.508451			
2261	0.24305	0.565245	0.507823			
2262	0.242009	0.563842	0.507266			
2263	0.240944	0.562432	0.506904			
2264	0.239847	0.561249	0.506593			
2265	0.23866	0.560225	0.506363			
2266	0.237569	0.559435	0.50619			
2267	0.236327	0.558568	0.506075			
2268	0.23513	0.557541	0.505832			
2269	0.233877	0.557047	0.505709			
2270	0.23252	0.556176	0.505498			
2271	0.231174	0.555453	0.505323			
2272	0.229838	0.554607	0.505155			
2273	0.228633	0.553641	0.505028			
2274	0.22744	0.552719	0.504762			
2275	0.226354	0.551869	0.50458			
2276	0.225178	0.550894	0.5045			
2277	0.22401	0.5502	0.50441			
2278	0.223007	0.549272	0.504309			
2279	0.222033	0.548535	0.504303			
2280	0.221354	0.548146	0.504287			
2281	0.220776	0.547538	0.504184			
2282	0.220214	0.54724	0.504058			
2283	0.219453	0.546906	0.503995			
2284	0.219077	0.546387	0.503759			
2285	0.218679	0.545935	0.503585			
2286	0.218209	0.545723	0.503488			
2287	0.217928	0.545561	0.503428			
2288	0.217681	0.545262	0.503158			
2289	0.217474	0.544774	0.50311			
2290	0.217218	0.544472	0.503116			
2291	0.217087	0.544063	0.502933			
2292	0.216982	0.543616	0.502805			
2293	0.216817	0.543547	0.502777			
2294	0.216676	0.543318	0.502667			
2295	0.216571	0.543001	0.502565			
2296	0.216436	0.543015	0.502474			
2297	0.216274	0.542923	0.502405			
2298	0.216195	0.542678	0.502378			
2299	0.216015	0.542503	0.502326			
2300	0.215886	0.54241	0.502274			
2301	0.215746	0.542324	0.502234			
2302	0.21559	0.542217	0.502091			
2303	0.215493	0.542028	0.501942			
2304	0.215378	0.54193	0.501942			
2305	0.21525	0.541693	0.501858			
2306	0.215181	0.54151	0.501766			
2307	0.21509	0.54153	0.5017			
2308	0.214945	0.541582	0.501505			
2309	0.214893	0.541661	0.501492			
2310	0.214786	0.541511	0.501354			
2311	0.214649	0.541293	0.501097			
2312	0.214563	0.541042	0.5011			
2313	0.214449	0.540851	0.501073			
2314	0.214376	0.540868	0.501032			
2315	0.214262	0.540962	0.50101			
2316	0.214199	0.540679	0.50097			
2317	0.214134	0.540668	0.500893			
2318	0.214135	0.540828	0.500906			
2319	0.213936	0.540857	0.500801			
2320	0.213911	0.54049	0.500755			
2321	0.213771	0.540313	0.500729			
2322	0.213707	0.54027	0.500723			
2323	0.213611	0.540326	0.500615			
2324	0.213512	0.540169	0.500612			
2325	0.213461	0.540269	0.50059			
2326	0.213375	0.539883	0.500547			
2327	0.213375	0.539565	0.500473			
2328	0.213229	0.539419	0.500417			
2329	0.213187	0.539202	0.500325			
2330	0.213161	0.539103	0.500232			
2331	0.213026	0.539194	0.500179			
2332	0.213003	0.539056	0.500111			
2333	0.212942	0.53908	0.500001			
2334	0.212822	0.538733	0.500066			
2335	0.212711	0.538795	0.499985			
2336	0.212683	0.538537	0.500008			
2337	0.212626	0.538536	0.499926			
2338	0.21257	0.538603	0.499849			
2339	0.212521	0.538478	0.499801			
2340	0.212415	0.538362	0.499794			
2341	0.212413	0.538158	0.499712			
2342	0.212304	0.538204	0.499742			
2343	0.212279	0.538179	0.499705			
2344	0.212173	0.538188	0.499698			
2345	0.212103	0.538095	0.499549			
2346	0.212077	0.538178	0.49954			
2347	0.212019	0.537953	0.499557			
2348	0.21199	0.537626	0.499516			
2349	0.211925	0.537633	0.499566			
2350	0.211886	0.537778	0.499446			
2351	0.211878	0.537733	0.499322			
2352	0.211763	0.5379	0.499233			
2353	0.211664	0.53759	0.499099			
2354	0.211632	0.537415	0.499167			
2355	0.211593	0.53745	0.499155			
2356	0.211507	0.537349	0.499001			
2357	0.21146	0.537302	0.499045			
2358	0.211449	0.537402	0.499047			
2359	0.2114	0.537375	0.499028			
2360	0.21137	0.537206	0.49903			
2361	0.211316	0.537286	0.499033			
2362	0.211267	0.537166	0.498915			
2363	0.211248	0.537137	0.498824			
2364	0.211175	0.536805	0.498845			
2365	0.211149	0.537044	0.49874			
2366	0.211118	0.537282	0.498753			
2367	0.21107	0.53719	0.498718			
2368	0.211006	0.536913	0.498738			
2369	0.211	0.53665	0.498684			
2370	0.210958	0.536735	0.49866			
2371	0.210856	0.536592	0.49863			
2372	0.210834	0.536649	0.498654			
2373	0.210785	0.536599	0.49865			
