	a0	a1	a2	x	y	z
0	0.194562	0.557423	0.556887	127.291885	99.51364	133.69554
1	0.194603	0.557698	0.556862	127.291885	99.51364	133.69554
2	0.194598	0.557559	0.556929	127.291885	99.51364	133.69554
3	0.194577	0.557751	0.556907	127.291885	99.51364	133.69554
4	0.194598	0.557923	0.556904	127.291885	99.51364	133.69554
5	0.194593	0.557487	0.556898	127.291885	99.51364	133.69554
6	0.194545	0.557671	0.556938	127.291885	99.51364	133.69554
7	0.194582	0.557664	0.55703	127.291885	99.51364	133.69554
8	0.194551	0.557767	0.557064	127.291885	99.51364	133.69554
9	0.194603	0.557759	0.557062	127.291885	99.51364	133.69554
10	0.194587	0.557498	0.55704	127.291885	99.51364	133.69554
11	0.194576	0.557566	0.556898	127.291885	99.51364	133.69554
12	0.194593	0.557604	0.556897	127.291885	99.51364	133.69554
13	0.194583	0.557666	0.556979	127.291885	99.51364	133.69554
14	0.19459	0.558096	0.557086	128.0474	100.0941	134.54907
15	0.194581	0.557827	0.557059	127.39663	99.60577	134.04027
16	0.194626	0.557856	0.557053	125.583565	98.04335	132.24333
17	0.194575	0.558021	0.557008	127.329895	99.2429	134.2506
18	0.19459	0.557668	0.557095	127.15314	98.92737	134.29166
19	0.194586	0.55794	0.557157	126.35033	98.06181	133.66797
20	0.194575	0.557849	0.557175	126.17742	97.47174	133.58063
21	0.194593	0.558095	0.557149	127.84318	98.31318	135.62263
22	0.194567	0.558008	0.557195	126.78582	96.66743	134.58064
23	0.194596	0.557977	0.55722	127.67561	96.4682	135.72394
24	0.194613	0.557867	0.557276	126.80037	94.80209	135.04936
25	0.194571	0.557847	0.55723	128.17392	94.644646	136.96405
26	0.194612	0.557862	0.557072	129.03105	94.07655	138.25919
27	0.194573	0.55781	0.557107	129.33205	91.77966	139.31523
28	0.194583	0.557986	0.557072	129.63304	89.48278	140.37128
29	0.194582	0.558002	0.557049	129.93402	87.18589	141.4273
30	0.194559	0.558121	0.557085	130.23502	84.88901	142.48335
31	0.194598	0.558043	0.557094	130.53601	82.59212	143.5394
32	0.194561	0.557798	0.557011	128.88292	81.17476	142.3841
33	0.194559	0.558011	0.556892	128.06567	79.194565	142.91539
34	0.194568	0.558299	0.556677	127.24843	77.21437	143.44669
35	0.194583	0.558304	0.556622	126.43118	75.23418	143.97798
36	0.194557	0.558182	0.556599	125.61393	73.253975	144.50928
37	0.194622	0.557879	0.556567	124.796684	71.27378	145.04057
38	0.194572	0.557762	0.556604	123.97944	69.29359	145.57187
39	0.194607	0.557948	0.556569	121.81629	68.150696	146.63223
40	0.194569	0.558157	0.5567	119.65315	67.007805	147.69261
41	0.194582	0.558174	0.556663	117.490005	65.864914	148.75298
42	0.194557	0.558124	0.556825	115.32686	64.722015	149.81334
43	0.194547	0.558074	0.55697	113.16371	63.57913	150.87372
44	0.194571	0.558061	0.556925	111.00057	62.436234	151.93408
45	0.194562	0.558205	0.556932	108.837425	61.293343	152.99445
46	0.194585	0.558112	0.557046	106.67428	60.15045	154.05482
47	0.194578	0.558033	0.557125	104.51113	59.00756	155.11519
48	0.194595	0.558132	0.55715	102.34799	57.864666	156.17555
49	0.194573	0.558155	0.557193	100.184845	56.721775	157.23592
50	0.194562	0.558137	0.557429	98.0217	55.578884	158.2963
51	0.194585	0.558123	0.557345	95.85855	54.435993	159.35666
52	0.194615	0.55814	0.55732	93.69541	53.2931	160.41702
53	0.194591	0.558241	0.55736	91.532265	52.150208	161.4774
54	0.194573	0.55843	0.557237	89.36912	51.007317	162.53777
55	0.194554	0.558488	0.557289	87.20597	49.864426	163.59813
56	0.194522	0.558483	0.557223	85.04283	48.72153	164.65851
57	0.194585	0.558387	0.557217	82.879684	47.57864	165.71887
58	0.194563	0.558131	0.557215	84.49486	48.313633	167.34933
59	0.194552	0.558283	0.557131	86.04228	49.0498	168.06549
60	0.194565	0.558494	0.557191	84.83778	48.41123	165.90608
61	0.194595	0.558329	0.557192	84.56842	48.5309	167.02353
62	0.194549	0.558838	0.557093	83.833786	47.936047	164.95935
63	0.194578	0.558394	0.557211	84.52105	48.329205	165.54437
64	0.194551	0.558128	0.557221	83.33864	47.75859	163.82365
65	0.194539	0.558017	0.557216	81.146454	46.52775	159.82117
66	0.19457	0.558214	0.557148	82.707985	47.288456	162.45268
67	0.194547	0.558374	0.557089	82.91487	47.49136	163.14473
68	0.19457	0.558328	0.557098	81.146454	46.52775	159.82117
69	0.194544	0.558323	0.557128	82.91487	47.49136	163.14473
70	0.194562	0.558289	0.55732	82.91487	47.49136	163.14473
71	0.194629	0.558205	0.557279	82.91487	47.49136	163.14473
72	0.194563	0.558503	0.557247	83.833786	47.936047	164.95935
73	0.194596	0.558518	0.557286	83.833786	47.936047	164.95935
74	0.194563	0.558512	0.557282	82.33883	47.254906	162.3279
75	0.194588	0.558475	0.557286	82.33883	47.254906	162.3279
76	0.194537	0.558327	0.557451	82.33883	47.254906	162.3279
77	0.194552	0.558456	0.557264	82.33883	47.254906	162.3279
78	0.194553	0.558648	0.557248	81.69959	46.773647	161.10152
79	0.19453	0.558325	0.557307	84.047966	48.274918	165.84149
80	0.194587	0.558585	0.557245	84.047966	48.274918	165.84149
81	0.194546	0.558481	0.55726	84.047966	48.274918	165.84149
82	0.19455	0.55883	0.557207	84.047966	48.274918	165.84149
83	0.194527	0.558815	0.557167	82.56188	47.467793	163.05432
84	0.194529	0.558542	0.557239	83.00962	47.68432	164.08932
85	0.194559	0.558429	0.557133	83.00962	47.68432	164.08932
86	0.194569	0.558758	0.557137	83.00962	47.68432	164.08932
87	0.194459	0.558748	0.55712	83.00962	47.68432	164.08932
88	0.194218	0.558487	0.557146	83.00962	47.68432	164.08932
89	0.193939	0.558469	0.557067	83.00962	47.68432	164.08932
90	0.193736	0.558484	0.557167	83.00962	47.68432	164.08932
91	0.193594	0.558304	0.557076	83.00962	47.68432	164.08932
92	0.193456	0.558286	0.557094	83.00962	47.68432	164.08932
93	0.193267	0.558438	0.557014	83.84649	48.070953	165.79114
94	0.193046	0.55847	0.557085	82.56188	47.467793	163.05432
95	0.1929	0.558547	0.557087	83.47153	47.909237	164.85744
96	0.192762	0.558282	0.557099	81.858376	47.01195	162.1649
97	0.192738	0.55838	0.557051	81.858376	47.01195	162.1649
98	0.192666	0.558592	0.557072	81.858376	47.01195	162.1649
99	0.192662	0.558432	0.55707	81.858376	47.01195	162.1649
100	0.192792	0.558469	0.557128	81.858376	47.01195	162.1649
101	0.192953	0.558264	0.557216	81.858376	47.01195	162.1649
102	0.193148	0.558056	0.557341	81.858376	47.01195	162.1649
103	0.193608	0.558253	0.557278	81.1025	46.724007	160.76085
104	0.194003	0.55762	0.557211	82.668434	47.66856	164.0257
105	0.19473	0.557906	0.557179	82.668434	47.66856	164.0257
106	0.195569	0.55806	0.557315	82.668434	47.66856	164.0257
107	0.196625	0.558544	0.557728	82.668434	47.66856	164.0257
108	0.197697	0.559292	0.557976	82.668434	47.66856	164.0257
109	0.198541	0.559647	0.558168	82.668434	47.66856	164.0257
